site,var,series,n,rmse,bias,r2,kge
ABBY,SR,optimized_best,26264.0,5.333998281127011,-4.735193596683593,-3.1207304295285505,-0.14959180218320434
ABBY,SR,elm_precal,26264.0,6.689566197051163,-6.213237431624852,-5.481333566178679,-0.27145070908505975
JERC,SR,optimized_best,51882.0,2.462009253102402,2.3648910205515943,-7.360949484388259,-0.8666717515197555
JERC,SR,elm_precal,51882.0,1.5752056788220512,1.4270835584206039,-2.4225576760024197,-0.15577807666960353
