site,var,logL_optimized,logL_elm_precal,delta_logL_opt_minus_elm
ABBY,SR,-196793.8980916834,-338977.3202905076,142183.42219882418
JERC,SR,-77766333.95119272,-33098896.601741742,-44667437.349450976
