arm,geometry_qualified,worst_tau,worst_split_rhat,worst_wasserstein_width_fraction,simplicity_rank,selected
B,False,1134.6277618622246,4.584940180830223,0.7772472776096835,0,False
T,False,1012.2956746796143,5.453302176148119,0.5030257682391206,2,False
I,False,1112.8909340275031,1.7434900707316112,0.021251513809337392,3,False
M,False,733.527708226478,1.48016830056829,0.4775432869438904,1,False
TIM,False,386.33675915474424,1.0317047522276492,0.0026026790476538788,4,False
