site,var,series,n,rmse,bias,r2,kge
ABBY,SR,optimized_best,26264.0,4.839239262430304,-4.160861934433042,-2.3917407722287085,-0.12505203097570883
ABBY,SR,elm_precal,26264.0,6.689566197051163,-6.213237431624852,-5.481333566178679,-0.27145070908505975
