parameter,autocorr_time,steps_per_tau,ess_approx,first_half_mean,second_half_mean,stationarity_delta
k_l1,459.74493175694124,8.700476554931827,0.8352457492734554,0.7818965898493019,0.7806119623812281,-0.0012846274680737846
k_l2,485.7868059779062,8.234064718879832,0.7904702130124639,0.12112394899150801,0.12354909147280675,0.002425142481298742
k_l3,508.82407114201413,7.861263306632342,0.7546812774367048,0.02649403053000765,0.026776949573158404,0.00028291904315075334
k_s1,387.2575479676551,10.329043348521362,0.9915881614580506,0.11663971288164043,0.12479549944976892,0.008155786568128487
k_s2,407.0455177118378,9.82691081450931,0.9433834381928937,0.023821804110616407,0.02392280333435186,0.0001009992237354547
k_s3,449.8426443616808,8.891998235685131,0.8536318306257726,0.0010531384816407762,0.000996566114172033,-5.657236746874311e-05
k_s4,398.68135675641184,10.033075116787913,0.9631752112116395,7.822259514454477e-05,7.617242030331461e-05,-2.0501748412301532e-06
k_frag,467.2440880127819,8.560835979781464,0.8218402540590205,0.001344549629521432,0.001377384433906637,3.283480438520496e-05
rf_l1s1,448.59647572382784,8.916699565117726,0.8560031582513017,0.45405366063407415,0.4623003831235775,0.008246722489503366
rf_l2s2,304.4604425021242,13.137995751195469,1.261247592114765,0.3150499979749208,0.31636821123601394,0.0013182132610931596
rf_l3s3,310.01704719579936,12.902516284769643,1.2386415633378856,0.3148022921553552,0.33815927946256713,0.02335698730721192
rf_s1s2,223.3585577703686,17.908425089816063,1.7192088086223423,0.18186900102200668,0.16900690899127957,-0.012862092030727107
rf_s2s3,151.8775352058252,26.337008923532895,2.5283528566591578,0.6477372695301788,0.6483481534619006,0.0006108839317217063
rf_s3s4,218.71111817173116,18.28896506696662,1.7557406464287957,0.1422922441089189,0.1440741463508686,0.0017819022419496844
sigma_SR,130.44567440966404,30.6641060970563,2.9437541853174047,3.659988282964336,3.667185520451877,0.007197237487540864
