site,seed,tier_a,mean_acceptance_fraction,opt_rmse,opt_r2,opt_kge,opt_bias,elm_rmse,elm_r2,elm_kge,elm_bias
ABBY,9009,True,0.30755078125,4.710504766595817,-2.2136853804189154,-0.13337647576743272,-3.996850481472902,6.689566197051163,-5.481333566178679,-0.27145070908505975,-6.213237431624852
ABBY,9010,True,0.30656835937500004,4.710806432443894,-2.2140970094125723,-0.12909448426996484,-3.9993697213175725,6.689566197051163,-5.481333566178679,-0.27145070908505975,-6.213237431624852
ABBY,9011,True,0.30830078124999993,4.7111185290677335,-2.2145228991485664,-0.13207130725649474,-3.997623269178385,6.689566197051163,-5.481333566178679,-0.27145070908505975,-6.213237431624852
ABBY,9012,True,0.227767578125,4.71329583071393,-2.217494848714596,-0.12896215787205367,-4.00203664593985,6.689566197051163,-5.481333566178679,-0.27145070908505975,-6.213237431624852
ABBY,9013,True,0.29323046875000003,4.711524291486038,-2.215076648220013,-0.13143100408892772,-3.999056080518383,6.689566197051163,-5.481333566178679,-0.27145070908505975,-6.213237431624852
ABBY,9014,True,0.247140625,4.715495453221992,-2.2204986599627827,-0.12999791897920243,-4.00391812684808,6.689566197051163,-5.481333566178679,-0.27145070908505975,-6.213237431624852
ABBY,9015,True,0.325779296875,4.715291966038054,-2.2202207184102973,-0.13207711890617535,-4.002598132271419,6.689566197051163,-5.481333566178679,-0.27145070908505975,-6.213237431624852
ABBY,9016,True,0.30412890625,4.716040693031602,-2.2212434578789835,-0.12782248165606624,-4.00558859316281,6.689566197051163,-5.481333566178679,-0.27145070908505975,-6.213237431624852
ABBY,9017,True,0.321935546875,4.711573509247098,-2.215143819560316,-0.1306820834076392,-3.9990379262608062,6.689566197051163,-5.481333566178679,-0.27145070908505975,-6.213237431624852
SOAP,9009,True,0.327693359375,6.25100005639208,-0.1414045445366947,-0.051063926226563305,-2.9805849324512406,7.634777417082206,-0.7026812445659298,-0.21451968969483937,-5.256937170074432
SOAP,9010,True,0.329705078125,6.252464671372132,-0.1419394714353317,-0.05043965632377834,-2.984905486333553,7.634777417082206,-0.7026812445659298,-0.21451968969483937,-5.256937170074432
SOAP,9011,True,0.33448046875000004,6.246807734626392,-0.13987405966610567,-0.050129570050587935,-2.9738556342688045,7.634777417082206,-0.7026812445659298,-0.21451968969483937,-5.256937170074432
SOAP,9012,True,0.32441796875,6.240993331302261,-0.1377531033813144,-0.05023550964111756,-2.955372766956238,7.634777417082206,-0.7026812445659298,-0.21451968969483937,-5.256937170074432
SOAP,9013,True,0.3259140625,6.241218924735426,-0.1378353576809057,-0.04893222453367585,-2.9666768640299574,7.634777417082206,-0.7026812445659298,-0.21451968969483937,-5.256937170074432
SOAP,9014,True,0.329025390625,6.2479085141122095,-0.14027582024120666,-0.050448510034201144,-2.975001621229139,7.634777417082206,-0.7026812445659298,-0.21451968969483937,-5.256937170074432
SOAP,9015,True,0.330189453125,6.2454254306470744,-0.13936964903461768,-0.050469727076265736,-2.9654272865738154,7.634777417082206,-0.7026812445659298,-0.21451968969483937,-5.256937170074432
SOAP,9016,True,0.33277734375,6.243512232507457,-0.13867169625767906,-0.04929592897089874,-2.9713971801444354,7.634777417082206,-0.7026812445659298,-0.21451968969483937,-5.256937170074432
SOAP,9017,True,0.32812109375,6.240172041697733,-0.13745367562568145,-0.04985674286636832,-2.9525205995020802,7.634777417082206,-0.7026812445659298,-0.21451968969483937,-5.256937170074432
YELL,9009,True,0.35047460937499997,1.8703281906134064,0.24904469776509985,0.1834788058492396,-0.490212785355718,3.2325848330759133,-1.243253273906583,-0.1463697134789823,-2.647581372255006
YELL,9010,True,0.345208984375,1.8702594718504522,0.24909987927992017,0.18301199220424524,-0.48611881852984884,3.2325848330759133,-1.243253273906583,-0.1463697134789823,-2.647581372255006
YELL,9011,True,0.3420625,1.870194842909589,0.24915177479679795,0.18299815193812574,-0.4863158691113558,3.2325848330759133,-1.243253273906583,-0.1463697134789823,-2.647581372255006
YELL,9012,True,0.33763867187499996,1.8704217034754482,0.24896960320633432,0.18424955587821756,-0.495618381688345,3.2325848330759133,-1.243253273906583,-0.1463697134789823,-2.647581372255006
YELL,9013,True,0.346873046875,1.870468934426404,0.24893167344147926,0.18502195462773885,-0.5017202669181998,3.2325848330759133,-1.243253273906583,-0.1463697134789823,-2.647581372255006
YELL,9014,True,0.35632421875,1.8696459431216153,0.2495924560999604,0.18328419231850523,-0.484671097323672,3.2325848330759133,-1.243253273906583,-0.1463697134789823,-2.647581372255006
YELL,9015,True,0.349181640625,1.869370628793689,0.24981344204450273,0.18226014599831608,-0.47532546953113936,3.2325848330759133,-1.243253273906583,-0.1463697134789823,-2.647581372255006
YELL,9016,True,0.33686914062499995,1.8695485237843708,0.249670655184962,0.18401600663169382,-0.489260059888035,3.2325848330759133,-1.243253273906583,-0.1463697134789823,-2.647581372255006
YELL,9017,True,0.34715039062499997,1.8709817540696163,0.24851978166025257,0.18384926759026998,-0.4966228426155399,3.2325848330759133,-1.243253273906583,-0.1463697134789823,-2.647581372255006
WREF,9009,True,0.3239375,5.711595027867833,-0.6421739339812071,-0.1033880363174371,-3.796817184258325,7.935739133652694,-2.1701448530703833,-0.3018194245849328,-6.679291883621815
WREF,9010,True,0.33934765624999996,5.70619492712127,-0.6390701731205233,-0.10350583034747207,-3.790047681192892,7.935739133652694,-2.1701448530703833,-0.3018194245849328,-6.679291883621815
WREF,9011,True,0.3404453125,5.715189458247561,-0.6442414955609048,-0.1035572598550254,-3.800977546241876,7.935739133652694,-2.1701448530703833,-0.3018194245849328,-6.679291883621815
WREF,9012,True,0.33428515625,5.7065687218263665,-0.6392849207157381,-0.10225118659198862,-3.7921590239043095,7.935739133652694,-2.1701448530703833,-0.3018194245849328,-6.679291883621815
WREF,9013,True,0.34139453125,5.706019426038625,-0.6389693514101051,-0.10047455547577933,-3.7923937435157766,7.935739133652694,-2.1701448530703833,-0.3018194245849328,-6.679291883621815
WREF,9014,True,0.34137109374999997,5.711448716745172,-0.642089801533688,-0.10553373403352095,-3.7945615646704938,7.935739133652694,-2.1701448530703833,-0.3018194245849328,-6.679291883621815
WREF,9015,True,0.34300976562499996,5.717886626371063,-0.6457937948285564,-0.10170879928145649,-3.807291505421523,7.935739133652694,-2.1701448530703833,-0.3018194245849328,-6.679291883621815
WREF,9016,True,0.3395,5.711175616760011,-0.6419327681780667,-0.10641336903466114,-3.7910059726546708,7.935739133652694,-2.1701448530703833,-0.3018194245849328,-6.679291883621815
WREF,9017,True,0.33022265624999997,5.71533808828608,-0.6443270174342715,-0.10149180017269033,-3.806246615357205,7.935739133652694,-2.1701448530703833,-0.3018194245849328,-6.679291883621815
JERC,9009,False,0.19577148437499997,0.6675267635644418,0.38537021342284816,0.4652165831302941,0.0056671553576100025,1.5752056788220512,-2.4225576760024197,-0.15577807666960353,1.4270835584206039
JERC,9010,False,0.095591796875,0.6673222909039338,0.3857466949260807,0.4564653592106398,0.003949566674360559,1.5752056788220512,-2.4225576760024197,-0.15577807666960353,1.4270835584206039
JERC,9011,False,0.10636328125,0.6672189450942209,0.3859369346065106,0.46893672291438737,0.005228136750841782,1.5752056788220512,-2.4225576760024197,-0.15577807666960353,1.4270835584206039
JERC,9012,False,0.11145312499999999,0.6658862054039683,0.38838761104738373,0.4649274869298583,-0.0006209184302655997,1.5752056788220512,-2.4225576760024197,-0.15577807666960353,1.4270835584206039
JERC,9013,False,0.12034375,0.6658723174071465,0.38841312286086493,0.46573216421732133,0.0028785674404219084,1.5752056788220512,-2.4225576760024197,-0.15577807666960353,1.4270835584206039
JERC,9014,False,0.058708984375,0.6674391886103342,0.38553147330777615,0.4557624411832347,-0.0005208525175419028,1.5752056788220512,-2.4225576760024197,-0.15577807666960353,1.4270835584206039
JERC,9015,False,0.1217734375,0.6670851154724827,0.38618324531643655,0.4608310895758304,-0.0008634506185823937,1.5752056788220512,-2.4225576760024197,-0.15577807666960353,1.4270835584206039
JERC,9016,False,0.1520859375,0.6675353449945236,0.3853544105015865,0.4655090936793874,0.007577638942810421,1.5752056788220512,-2.4225576760024197,-0.15577807666960353,1.4270835584206039
JERC,9017,True,0.20519921875000002,0.6675217170524043,0.38537950660796483,0.4635672374804253,0.005160507543590494,1.5752056788220512,-2.4225576760024197,-0.15577807666960353,1.4270835584206039
OSBS,9009,True,0.25987109375,0.3918736831280969,0.2131768164182899,0.42824208516829343,0.001207369856689973,1.2355213182046845,-6.821416927119115,-0.28434000958534766,1.1632125473654331
OSBS,9010,True,0.264408203125,0.39270764998541025,0.20982429382661283,0.4117078885287634,0.0005392723859810283,1.2355213182046845,-6.821416927119115,-0.28434000958534766,1.1632125473654331
OSBS,9011,False,0.159830078125,0.39234612832035265,0.21127847556674162,0.4159656434210848,0.000503449816713834,1.2355213182046845,-6.821416927119115,-0.28434000958534766,1.1632125473654331
OSBS,9012,False,0.149169921875,0.392267420918692,0.2115948900318112,0.42093370113626716,-4.685944679205617e-05,1.2355213182046845,-6.821416927119115,-0.28434000958534766,1.1632125473654331
OSBS,9013,True,0.3555234375,0.39157625816367736,0.21437073200219314,0.42127207019495283,0.003832041811729639,1.2355213182046845,-6.821416927119115,-0.28434000958534766,1.1632125473654331
OSBS,9014,False,0.11726562500000001,0.39150493050443297,0.21465691887806815,0.43409921436985566,0.002329788559889969,1.2355213182046845,-6.821416927119115,-0.28434000958534766,1.1632125473654331
OSBS,9015,False,0.19493164062499999,0.39246961964487964,0.21078189569953942,0.4219161490932669,0.0003397035392497404,1.2355213182046845,-6.821416927119115,-0.28434000958534766,1.1632125473654331
OSBS,9016,False,0.081009765625,0.392228781690665,0.2117502017545907,0.42926811119562147,-0.000553026378522976,1.2355213182046845,-6.821416927119115,-0.28434000958534766,1.1632125473654331
OSBS,9017,True,0.22651171875,0.391556759214705,0.21444897251487516,0.41686622989441924,-0.00026505724165397647,1.2355213182046845,-6.821416927119115,-0.28434000958534766,1.1632125473654331
RMNP,9009,True,0.29226953125,0.6649397410827943,0.6024199000441016,0.5297822019103791,0.006018592690766601,0.9374777343274282,0.2097181967200279,0.1836516496065016,-0.5421285437218707
RMNP,9010,True,0.283083984375,0.6643558105778126,0.6031178797151475,0.5243389422628852,0.00297231849144525,0.9374777343274282,0.2097181967200279,0.1836516496065016,-0.5421285437218707
RMNP,9011,True,0.305455078125,0.6649466232227635,0.6024116700771205,0.5297799664343653,0.005358044993442909,0.9374777343274282,0.2097181967200279,0.1836516496065016,-0.5421285437218707
RMNP,9012,True,0.308369140625,0.6649153283249264,0.6024490932113585,0.5300770495893342,0.00796508005794602,0.9374777343274282,0.2097181967200279,0.1836516496065016,-0.5421285437218707
RMNP,9013,True,0.220552734375,0.6695932207566262,0.5968356200587135,0.5239472795720279,-0.004204914257802763,0.9374777343274282,0.2097181967200279,0.1836516496065016,-0.5421285437218707
RMNP,9014,False,0.188697265625,0.6619517727526245,0.6059849979839308,0.5380867535083758,-0.0021393006032998656,0.9374777343274282,0.2097181967200279,0.1836516496065016,-0.5421285437218707
RMNP,9015,True,0.27678515625,0.6643580958975975,0.603115149238173,0.5243884538786787,0.0036542642431739835,0.9374777343274282,0.2097181967200279,0.1836516496065016,-0.5421285437218707
RMNP,9016,True,0.27279296875000003,0.6649318998416629,0.6024292768428057,0.5300176921661721,0.007141622343738371,0.9374777343274282,0.2097181967200279,0.1836516496065016,-0.5421285437218707
RMNP,9017,True,0.26539453125,0.6641884838662829,0.6033177744583236,0.5213134635639495,0.014628643286354683,0.9374777343274282,0.2097181967200279,0.1836516496065016,-0.5421285437218707
TALL,9009,True,0.23759179687499998,1.2669500648119427,0.2071189154807367,0.17548129208085161,-0.00435336016049937,1.3324882200299792,0.12296723664491938,0.06589425234251611,-0.10445008277434274
TALL,9010,True,0.39567578125,1.2657935554439126,0.20856578526164404,0.17732237502171344,0.002479574007409681,1.3324882200299792,0.12296723664491938,0.06589425234251611,-0.10445008277434274
TALL,9011,True,0.33894335937500003,1.265532485951162,0.208892217673178,0.18499683406435508,0.00017124452258167973,1.3324882200299792,0.12296723664491938,0.06589425234251611,-0.10445008277434274
TALL,9012,True,0.34977734375,1.2655319463282437,0.20889289232958363,0.1850187971547258,0.0006072951153783752,1.3324882200299792,0.12296723664491938,0.06589425234251611,-0.10445008277434274
TALL,9013,True,0.26544140625,1.265526513077811,0.20889968516293855,0.1856126514870634,-0.001033747937160644,1.3324882200299792,0.12296723664491938,0.06589425234251611,-0.10445008277434274
TALL,9014,True,0.3294375,1.2655278151758715,0.20889805723858468,0.18550821463373424,0.0006847017733730576,1.3324882200299792,0.12296723664491938,0.06589425234251611,-0.10445008277434274
TALL,9015,True,0.27355859375,1.2658247488830718,0.20852677754334403,0.17704382205403113,-0.0023533858754713546,1.3324882200299792,0.12296723664491938,0.06589425234251611,-0.10445008277434274
TALL,9016,True,0.372849609375,1.2657943904764009,0.20856474105740275,0.17771823353636795,0.004897579765769792,1.3324882200299792,0.12296723664491938,0.06589425234251611,-0.10445008277434274
TALL,9017,True,0.30789453125,1.2655433251259929,0.2088786660774984,0.18580833756526394,-0.0014685939177213909,1.3324882200299792,0.12296723664491938,0.06589425234251611,-0.10445008277434274
TEAK,9009,True,0.20147265625,0.6839440410196921,0.37263308539692575,0.36623044301809193,-0.016442089656078147,0.7594160094018767,0.22653624315059917,0.23976799738359722,-0.0796935055396822
TEAK,9010,False,0.185345703125,0.6836746248996636,0.37312724708119727,0.3589919326024136,-0.01628045197040976,0.7594160094018767,0.22653624315059917,0.23976799738359722,-0.0796935055396822
TEAK,9011,False,0.16983203125,0.6800135712940574,0.3798230342503256,0.36477061556009127,0.0037583342688757466,0.7594160094018767,0.22653624315059917,0.23976799738359722,-0.0796935055396822
TEAK,9012,False,0.139869140625,0.683568540798034,0.373321772579122,0.34601434725615365,-0.008256586469529925,0.7594160094018767,0.22653624315059917,0.23976799738359722,-0.0796935055396822
TEAK,9013,False,0.124646484375,0.6758334224580878,0.38742424719612845,0.3807765620207467,-0.0029783782599742048,0.7594160094018767,0.22653624315059917,0.23976799738359722,-0.0796935055396822
TEAK,9014,False,0.123138671875,0.6839496461566995,0.3726228024155449,0.349014403428766,-0.004670612644020955,0.7594160094018767,0.22653624315059917,0.23976799738359722,-0.0796935055396822
TEAK,9015,False,0.148984375,0.6818148787009934,0.3765330735577659,0.35414318588043314,0.011716507788980802,0.7594160094018767,0.22653624315059917,0.23976799738359722,-0.0796935055396822
TEAK,9016,True,0.20371093750000002,0.6839434107115867,0.37263424173207993,0.34910803553917524,-0.008150819904871898,0.7594160094018767,0.22653624315059917,0.23976799738359722,-0.0796935055396822
