work_unit,job_id,state,exit_code,elapsed,max_rss,alloc_tres,gate_result,notes
preflight,23516816,COMPLETED,0:0,00:00:34,2.47GB,"cpu=2,mem=10G",pass,PREFLIGHT_PASS unit tests+hashes+negatives
validate,23516840,COMPLETED,0:0,00:05:06,5.00GB,"cpu=1,mem=5G",pass,VALIDATE_PASS three modes+drop32 accept+negatives
