schema,site,integrity_pass,interpretability_pass,eligible_configurations,decision,unique_non_dominated,selected_configuration
spinup-forcing-coupling-iter011-site-decision-v1,ABBY,True,True,"['daily_0.50', 'daily_0.75', 'daily_1.00', 'hourly_0.50', 'hourly_0.75', 'hourly_1.00']",preferred_configuration_supported,['daily_0.75'],daily_0.75
spinup-forcing-coupling-iter011-site-decision-v1,JERC,True,True,"['hourly_0.50', 'hourly_0.75', 'hourly_1.00']",inconclusive_metric_tradeoff,"['hourly_0.75', 'hourly_1.00']",
