site,resolution,de_scale,mean_acceptance,saturation,min_steps_per_tau,abs_resid_lag24,sigma_upper_edge,max_cross_seed_width_fraction
ABBY,hourly,0.50,0.371318359375,0.538537109375,17.13724003750013,0.9721854370042898,0.004375,0.0006091476428704864
ABBY,hourly,0.75,0.232580078125,0.547880859375,21.056258502199952,0.9721873240815547,0.008272058823529412,0.0004278469755635138
ABBY,hourly,1.00,0.14707421875,0.55049609375,21.085880068022632,0.9721880983308993,0.005078125,0.0007133336315814273
ABBY,daily,0.50,0.375314453125,0.014337890625,24.806114111747927,0.9722076843457677,0.0,0.0056516086776083494
ABBY,daily,0.75,0.23670703124999998,0.013359375,33.09528513610297,0.9721901279132226,0.0,0.0022312178898777125
ABBY,daily,1.00,0.1483671875,0.01718359375,39.87032501137889,0.9721869433913245,0.0,0.0021687861977133242
JERC,hourly,0.50,0.502189453125,0.0,49.797972356896125,0.9180644668169348,0.0,0.002705480491607817
JERC,hourly,0.75,0.34897265624999996,0.0,63.00969717374723,0.9180950816028348,0.0,0.0041011691422516245
JERC,hourly,1.00,0.249419921875,0.0,58.127219274973974,0.9182294093471564,0.0,0.0026026790476538788
JERC,daily,0.50,0.08375390625,0.0,8.367511040153252,0.9195796992856514,0.0,0.039002588483110806
JERC,daily,0.75,0.041654296875,0.0,7.92781939884071,0.918643949209247,0.0,0.06519828829840975
JERC,daily,1.00,0.02718359375,0.0,8.32157037223126,0.9181466723809036,0.0,0.05620105723608739
