site,left,right,improves,worsens,dominates
ABBY,hourly_0.50,hourly_0.75,,min_steps_per_tau,False
ABBY,hourly_0.50,hourly_1.00,mean_acceptance,min_steps_per_tau,False
ABBY,hourly_0.50,daily_0.50,,saturation;min_steps_per_tau,False
ABBY,hourly_0.50,daily_0.75,,saturation;min_steps_per_tau,False
ABBY,hourly_0.50,daily_1.00,mean_acceptance,saturation;min_steps_per_tau,False
ABBY,hourly_0.75,hourly_0.50,min_steps_per_tau,,True
ABBY,hourly_0.75,hourly_1.00,mean_acceptance,,True
ABBY,hourly_0.75,daily_0.50,,saturation;min_steps_per_tau,False
ABBY,hourly_0.75,daily_0.75,,saturation;min_steps_per_tau,False
ABBY,hourly_0.75,daily_1.00,mean_acceptance,saturation;min_steps_per_tau,False
ABBY,hourly_1.00,hourly_0.50,min_steps_per_tau,mean_acceptance,False
ABBY,hourly_1.00,hourly_0.75,,mean_acceptance,False
ABBY,hourly_1.00,daily_0.50,,mean_acceptance;saturation,False
ABBY,hourly_1.00,daily_0.75,,mean_acceptance;saturation;min_steps_per_tau,False
ABBY,hourly_1.00,daily_1.00,,saturation;min_steps_per_tau,False
ABBY,daily_0.50,hourly_0.50,saturation;min_steps_per_tau,,True
ABBY,daily_0.50,hourly_0.75,saturation;min_steps_per_tau,,True
ABBY,daily_0.50,hourly_1.00,mean_acceptance;saturation,,True
ABBY,daily_0.50,daily_0.75,,min_steps_per_tau,False
ABBY,daily_0.50,daily_1.00,mean_acceptance,min_steps_per_tau,False
ABBY,daily_0.75,hourly_0.50,saturation;min_steps_per_tau,,True
ABBY,daily_0.75,hourly_0.75,saturation;min_steps_per_tau,,True
ABBY,daily_0.75,hourly_1.00,mean_acceptance;saturation;min_steps_per_tau,,True
ABBY,daily_0.75,daily_0.50,min_steps_per_tau,,True
ABBY,daily_0.75,daily_1.00,mean_acceptance,,True
ABBY,daily_1.00,hourly_0.50,saturation;min_steps_per_tau,mean_acceptance,False
ABBY,daily_1.00,hourly_0.75,saturation;min_steps_per_tau,mean_acceptance,False
ABBY,daily_1.00,hourly_1.00,saturation;min_steps_per_tau,,True
ABBY,daily_1.00,daily_0.50,min_steps_per_tau,mean_acceptance,False
ABBY,daily_1.00,daily_0.75,,mean_acceptance,False
