site,left,right,improves,worsens,dominates
JERC,hourly_0.50,hourly_0.75,,min_steps_per_tau,False
JERC,hourly_0.50,hourly_1.00,,min_steps_per_tau,False
JERC,hourly_0.50,daily_0.50,mean_acceptance;min_steps_per_tau,,True
JERC,hourly_0.50,daily_0.75,mean_acceptance;min_steps_per_tau;max_cross_seed_width_fraction,,True
JERC,hourly_0.50,daily_1.00,mean_acceptance;min_steps_per_tau;max_cross_seed_width_fraction,,True
JERC,hourly_0.75,hourly_0.50,min_steps_per_tau,,True
JERC,hourly_0.75,hourly_1.00,,,False
JERC,hourly_0.75,daily_0.50,mean_acceptance;min_steps_per_tau,,True
JERC,hourly_0.75,daily_0.75,mean_acceptance;min_steps_per_tau;max_cross_seed_width_fraction,,True
JERC,hourly_0.75,daily_1.00,mean_acceptance;min_steps_per_tau;max_cross_seed_width_fraction,,True
JERC,hourly_1.00,hourly_0.50,min_steps_per_tau,,True
JERC,hourly_1.00,hourly_0.75,,,False
JERC,hourly_1.00,daily_0.50,mean_acceptance;min_steps_per_tau,,True
JERC,hourly_1.00,daily_0.75,mean_acceptance;min_steps_per_tau;max_cross_seed_width_fraction,,True
JERC,hourly_1.00,daily_1.00,mean_acceptance;min_steps_per_tau;max_cross_seed_width_fraction,,True
JERC,daily_0.50,hourly_0.50,,mean_acceptance;min_steps_per_tau,False
JERC,daily_0.50,hourly_0.75,,mean_acceptance;min_steps_per_tau,False
JERC,daily_0.50,hourly_1.00,,mean_acceptance;min_steps_per_tau,False
JERC,daily_0.50,daily_0.75,mean_acceptance;max_cross_seed_width_fraction,,True
JERC,daily_0.50,daily_1.00,mean_acceptance;max_cross_seed_width_fraction,,True
JERC,daily_0.75,hourly_0.50,,mean_acceptance;min_steps_per_tau;max_cross_seed_width_fraction,False
JERC,daily_0.75,hourly_0.75,,mean_acceptance;min_steps_per_tau;max_cross_seed_width_fraction,False
JERC,daily_0.75,hourly_1.00,,mean_acceptance;min_steps_per_tau;max_cross_seed_width_fraction,False
JERC,daily_0.75,daily_0.50,,mean_acceptance;max_cross_seed_width_fraction,False
JERC,daily_0.75,daily_1.00,,,False
JERC,daily_1.00,hourly_0.50,,mean_acceptance;min_steps_per_tau;max_cross_seed_width_fraction,False
JERC,daily_1.00,hourly_0.75,,mean_acceptance;min_steps_per_tau;max_cross_seed_width_fraction,False
JERC,daily_1.00,hourly_1.00,,mean_acceptance;min_steps_per_tau;max_cross_seed_width_fraction,False
JERC,daily_1.00,daily_0.50,,mean_acceptance;max_cross_seed_width_fraction,False
JERC,daily_1.00,daily_0.75,,,False
