site,seed,resolution,de_scale,leaf,mean_acceptance,saturation,min_steps_per_tau,max_tau_change,abs_resid_lag24,sigma_upper_edge,raw_chain_sha256,max_cross_seed_width_fraction
JERC,9009,daily,0.50,leaf_04_jerc_seed9009,0.07989062499999999,0.0,8.367511040153252,0.3430416202054371,0.9204337480444198,0.0,95c338c6a08fd455820222c15b8e16721be5af42fa6fe26af38d35eae8feb682,0.039002588483110806
JERC,9010,daily,0.50,leaf_05_jerc_seed9010,0.08382421875000001,0.0,8.109758958015432,0.3768445215473027,0.9195796992856514,0.0,486b534ba35aedf990aec07c085eeb7152b42db8fdb55286afe83cd99a41cf6f,0.039002588483110806
JERC,9011,daily,0.50,leaf_06_jerc_seed9011,0.08375390625,0.0,8.503805192150882,0.3727324046974322,0.9185308042590902,0.0,36996007478bd742c4781cde584b98bdb65319dcff3883f231d576672fc71a26,0.039002588483110806
ABBY,9009,daily,0.75,leaf_01_abby_seed9009,0.23619531249999998,0.0208359375,33.09528513610297,0.06404302253257073,0.9722086436049153,0.0,e6acaf25889bffcc09b1d9a0769d667137e582e08c9c5f93c713cff40d2c31f4,0.0022312178898777125
ABBY,9010,daily,0.75,leaf_02_abby_seed9010,0.2377578125,0.013359375,44.8324166198922,0.05508208589974582,0.9721839878544,0.0,6844b7dbd24a7d97ca9be2ae5648352bcd9917bc75f30cd42e753953eed00281,0.0022312178898777125
ABBY,9011,daily,0.75,leaf_03_abby_seed9011,0.23670703124999998,0.012908203125,31.786104667794003,0.08561641035457102,0.9721901279132226,0.00029481132075471697,0a6ef48e79b67c04eeec1786cb92b72d13cd03219e1696abb11c6aa1f3f3e59a,0.0022312178898777125
JERC,9009,daily,0.75,leaf_04_jerc_seed9009,0.0431484375,0.0,8.131525706142945,0.36038294165352175,0.9179610938064023,0.0,59ea2a27e80b6d060fee89c4faec8554149d714feeaef518fb04b439d968f724,0.06519828829840975
JERC,9010,daily,0.75,leaf_05_jerc_seed9010,0.0348359375,0.0,7.924154369844333,0.47461121665351336,0.9197882690569301,0.0,b518b26231dd0fcb7925f3e1f117b270d576929b0da5242875627eece2ed6b28,0.06519828829840975
JERC,9011,daily,0.75,leaf_06_jerc_seed9011,0.041654296875,0.0,7.92781939884071,0.370041330743994,0.918643949209247,0.0,75f9c8194a57331ab86732dac66a69ccdba76d9fb8d9f4775aa03a0eb4391fef,0.06519828829840975
ABBY,9009,daily,1.00,leaf_01_abby_seed9009,0.1483671875,0.01674609375,39.87032501137889,0.061864636665290046,0.9722051404521174,0.0004734848484848485,c594e392cd909b18d2c97aa1c96be9be62382dc15b7f30cbae0cc2cffe0b1b56,0.0021687861977133242
ABBY,9010,daily,1.00,leaf_02_abby_seed9010,0.14934765625000002,0.01718359375,43.69900013292299,0.055728957718402736,0.9721869433913245,0.0,5fd5b62a48396f92b9345654b2701d5c38dbecaf64ab87c08b11dee4aaba8762,0.0021687861977133242
ABBY,9011,daily,1.00,leaf_03_abby_seed9011,0.145603515625,0.018728515625,39.57335956869218,0.08633316578619445,0.9721719581313806,0.0,d21c947d3abcdfee39c39854a4473db9201c4e03308f8098dd9c4af576bd4b43,0.0021687861977133242
JERC,9009,daily,1.00,leaf_04_jerc_seed9009,0.02408984375,0.0,8.189645205613903,0.5605984048086577,0.920344549515263,0.0,80528d03ebd3571712b84fd064f926c072025304ffc91ea8fb7d91489ad388cb,0.05620105723608739
JERC,9010,daily,1.00,leaf_05_jerc_seed9010,0.02718359375,0.0,8.433505864846511,0.36372483045149995,0.9181466723809036,0.0,bbf3b76cdfcfd82638d65a8d5ee5337d95f7dd66a05158e19aaa10abfacc9f70,0.05620105723608739
JERC,9011,daily,1.00,leaf_06_jerc_seed9011,0.02912890625,0.0,8.32157037223126,0.34870600778448824,0.9169595988451521,0.0,2b0f0f8b7920115f8fa1e46ff929a1ab265447a05646cf09fba9128db6f4fb44,0.05620105723608739
