site,left,right,metric,seed9009_left_minus_right,seed9010_left_minus_right,seed9011_left_minus_right,median_left_minus_right,material_direction
ABBY,hourly_0.50,hourly_0.75,mean_acceptance,0.13152148437499997,0.14126367187499997,0.139853515625,0.139853515625,0
ABBY,hourly_0.50,hourly_0.75,saturation,-0.01674023437499994,-0.004230468749999994,-0.012650390624999952,-0.012650390624999952,0
ABBY,hourly_0.50,hourly_0.75,min_steps_per_tau,-6.970588309928742,-3.418548460455689,-1.1173293388562229,-3.418548460455689,-1
ABBY,hourly_0.50,hourly_0.75,max_cross_seed_width_fraction,0.0001813006673069726,0.0001813006673069726,0.0001813006673069726,0.0001813006673069726,0
ABBY,hourly_0.50,hourly_0.75,abs_resid_lag24,-1.7854133856687326e-05,7.562009331052444e-06,-4.578996803061841e-06,-4.578996803061841e-06,0
ABBY,hourly_0.50,hourly_0.75,sigma_upper_edge,-0.005740367383512544,-0.003464366515837104,-0.003726851851851851,-0.003726851851851851,0
ABBY,hourly_0.50,hourly_1.00,mean_acceptance,0.21942382812499994,0.22800585937499998,0.224244140625,0.224244140625,1
ABBY,hourly_0.50,hourly_1.00,saturation,-0.022320312499999995,-0.011958984374999981,-0.0002675781250000009,-0.011958984374999981,0
ABBY,hourly_0.50,hourly_1.00,min_steps_per_tau,-6.621652656072248,-2.8786703052118803,-7.942071441940875,-6.621652656072248,-1
ABBY,hourly_0.50,hourly_1.00,max_cross_seed_width_fraction,-0.00010418598871094083,-0.00010418598871094083,-0.00010418598871094083,-0.00010418598871094083,0
ABBY,hourly_0.50,hourly_1.00,abs_resid_lag24,-2.6613266094210886e-06,1.739016661228554e-06,-2.118148329399716e-06,-2.118148329399716e-06,0
ABBY,hourly_0.50,hourly_1.00,sigma_upper_edge,-0.002495659722222222,0.0005463286713286719,-0.0007031249999999998,-0.0007031249999999998,0
ABBY,hourly_0.50,daily_0.50,mean_acceptance,-0.01140039062500009,0.0014609374999999813,-0.003996093749999985,-0.003996093749999985,0
ABBY,hourly_0.50,daily_0.50,saturation,0.516873046875,0.52419921875,0.51859765625,0.51859765625,-1
ABBY,hourly_0.50,daily_0.50,min_steps_per_tau,-10.720443919476716,-4.04455586772648,-8.902559056300607,-8.902559056300607,-1
ABBY,hourly_0.50,daily_0.50,max_cross_seed_width_fraction,-0.0050424610347378634,-0.0050424610347378634,-0.0050424610347378634,-0.0050424610347378634,0
ABBY,hourly_0.50,daily_0.50,abs_resid_lag24,-4.4660126618079055e-05,-1.1055169512053098e-06,-2.49392610159882e-05,-2.49392610159882e-05,0
ABBY,hourly_0.50,daily_0.50,sigma_upper_edge,0.004340277777777778,0.004807692307692308,0.004375,0.004375,0
ABBY,hourly_0.50,daily_0.75,mean_acceptance,0.13119140624999998,0.13608593749999998,0.13461132812500004,0.13461132812500004,0
ABBY,hourly_0.50,daily_0.75,saturation,0.5103046875,0.525177734375,0.5273515625,0.525177734375,-1
ABBY,hourly_0.50,daily_0.75,min_steps_per_tau,-19.009614943831764,-26.625206857081448,-14.648864630293872,-19.009614943831764,-1
ABBY,hourly_0.50,daily_0.75,max_cross_seed_width_fraction,-0.001622070247007226,-0.001622070247007226,-0.001622070247007226,-0.001622070247007226,0
ABBY,hourly_0.50,daily_0.75,abs_resid_lag24,-2.3206600625491625e-05,5.946705913917327e-06,-7.382828470903213e-06,-7.382828470903213e-06,0
ABBY,hourly_0.50,daily_0.75,sigma_upper_edge,0.004340277777777778,0.004807692307692308,0.0040801886792452835,0.004340277777777778,0
ABBY,hourly_0.50,daily_1.00,mean_acceptance,0.21901953124999995,0.22449609374999996,0.22571484375,0.22449609374999996,1
ABBY,hourly_0.50,daily_1.00,saturation,0.51439453125,0.521353515625,0.52153125,0.521353515625,-1
ABBY,hourly_0.50,daily_1.00,min_steps_per_tau,-25.78465481910768,-25.491790370112238,-22.436119531192052,-25.491790370112238,-1
ABBY,hourly_0.50,daily_1.00,max_cross_seed_width_fraction,-0.0015596385548428378,-0.0015596385548428378,-0.0015596385548428378,-0.0015596385548428378,0
ABBY,hourly_0.50,daily_1.00,abs_resid_lag24,-1.970344782753486e-05,2.991168989385784e-06,1.0786953371089147e-05,2.991168989385784e-06,0
ABBY,hourly_0.50,daily_1.00,sigma_upper_edge,0.0038667929292929295,0.004807692307692308,0.004375,0.004375,0
ABBY,hourly_0.75,hourly_0.50,mean_acceptance,-0.13152148437499997,-0.14126367187499997,-0.139853515625,-0.139853515625,0
ABBY,hourly_0.75,hourly_0.50,saturation,0.01674023437499994,0.004230468749999994,0.012650390624999952,0.012650390624999952,0
ABBY,hourly_0.75,hourly_0.50,min_steps_per_tau,6.970588309928742,3.418548460455689,1.1173293388562229,3.418548460455689,1
ABBY,hourly_0.75,hourly_0.50,max_cross_seed_width_fraction,-0.0001813006673069726,-0.0001813006673069726,-0.0001813006673069726,-0.0001813006673069726,0
ABBY,hourly_0.75,hourly_0.50,abs_resid_lag24,1.7854133856687326e-05,-7.562009331052444e-06,4.578996803061841e-06,4.578996803061841e-06,0
ABBY,hourly_0.75,hourly_0.50,sigma_upper_edge,0.005740367383512544,0.003464366515837104,0.003726851851851851,0.003726851851851851,0
ABBY,hourly_0.75,hourly_1.00,mean_acceptance,0.08790234374999997,0.08674218750000001,0.084390625,0.08674218750000001,1
ABBY,hourly_0.75,hourly_1.00,saturation,-0.005580078125000054,-0.0077285156249999876,0.012382812499999951,-0.005580078125000054,0
ABBY,hourly_0.75,hourly_1.00,min_steps_per_tau,0.3489356538564934,0.5398781552438088,-6.8247421030846525,0.3489356538564934,0
ABBY,hourly_0.75,hourly_1.00,max_cross_seed_width_fraction,-0.00028548665601791344,-0.00028548665601791344,-0.00028548665601791344,-0.00028548665601791344,0
ABBY,hourly_0.75,hourly_1.00,abs_resid_lag24,1.5192807247266238e-05,-5.82299266982389e-06,2.460848473662125e-06,2.460848473662125e-06,0
ABBY,hourly_0.75,hourly_1.00,sigma_upper_edge,0.0032447076612903223,0.004010695187165776,0.0030237268518518512,0.0032447076612903223,0
ABBY,hourly_0.75,daily_0.50,mean_acceptance,-0.14292187500000006,-0.139802734375,-0.143849609375,-0.14292187500000006,0
ABBY,hourly_0.75,daily_0.50,saturation,0.53361328125,0.5284296875,0.5312480468749999,0.5312480468749999,-1
ABBY,hourly_0.75,daily_0.50,min_steps_per_tau,-3.749855609547975,-0.6260074072707908,-7.785229717444384,-3.749855609547975,-1
ABBY,hourly_0.75,daily_0.50,max_cross_seed_width_fraction,-0.005223761702044836,-0.005223761702044836,-0.005223761702044836,-0.005223761702044836,0
ABBY,hourly_0.75,daily_0.50,abs_resid_lag24,-2.6805992761391728e-05,-8.667526282257754e-06,-2.036026421292636e-05,-2.036026421292636e-05,0
ABBY,hourly_0.75,daily_0.50,sigma_upper_edge,0.010080645161290322,0.008272058823529412,0.008101851851851851,0.008272058823529412,0
ABBY,hourly_0.75,daily_0.75,mean_acceptance,-0.000330078124999994,-0.005177734374999993,-0.005242187499999967,-0.005177734374999993,0
ABBY,hourly_0.75,daily_0.75,saturation,0.527044921875,0.529408203125,0.540001953125,0.529408203125,-1
ABBY,hourly_0.75,daily_0.75,min_steps_per_tau,-12.03902663390302,-23.20665839662576,-13.531535291437649,-13.531535291437649,-1
ABBY,hourly_0.75,daily_0.75,max_cross_seed_width_fraction,-0.0018033709143141987,-0.0018033709143141987,-0.0018033709143141987,-0.0018033709143141987,0
ABBY,hourly_0.75,daily_0.75,abs_resid_lag24,-5.352466768804298e-06,-1.6153034171351166e-06,-2.803831667841372e-06,-2.803831667841372e-06,0
ABBY,hourly_0.75,daily_0.75,sigma_upper_edge,0.010080645161290322,0.008272058823529412,0.0078070405310971345,0.008272058823529412,0
ABBY,hourly_0.75,daily_1.00,mean_acceptance,0.08749804687499999,0.08323242187499999,0.085861328125,0.085861328125,1
ABBY,hourly_0.75,daily_1.00,saturation,0.531134765625,0.525583984375,0.534181640625,0.531134765625,-1
ABBY,hourly_0.75,daily_1.00,min_steps_per_tau,-18.814066509178936,-22.07324190965655,-21.31879019233583,-21.31879019233583,-1
ABBY,hourly_0.75,daily_1.00,max_cross_seed_width_fraction,-0.0017409392221498104,-0.0017409392221498104,-0.0017409392221498104,-0.0017409392221498104,0
ABBY,hourly_0.75,daily_1.00,abs_resid_lag24,-1.8493139708475326e-06,-4.57084034166666e-06,1.536595017415099e-05,-1.8493139708475326e-06,0
ABBY,hourly_0.75,daily_1.00,sigma_upper_edge,0.009607160312805474,0.008272058823529412,0.008101851851851851,0.008272058823529412,0
ABBY,hourly_1.00,hourly_0.50,mean_acceptance,-0.21942382812499994,-0.22800585937499998,-0.224244140625,-0.224244140625,-1
ABBY,hourly_1.00,hourly_0.50,saturation,0.022320312499999995,0.011958984374999981,0.0002675781250000009,0.011958984374999981,0
ABBY,hourly_1.00,hourly_0.50,min_steps_per_tau,6.621652656072248,2.8786703052118803,7.942071441940875,6.621652656072248,1
ABBY,hourly_1.00,hourly_0.50,max_cross_seed_width_fraction,0.00010418598871094083,0.00010418598871094083,0.00010418598871094083,0.00010418598871094083,0
ABBY,hourly_1.00,hourly_0.50,abs_resid_lag24,2.6613266094210886e-06,-1.739016661228554e-06,2.118148329399716e-06,2.118148329399716e-06,0
ABBY,hourly_1.00,hourly_0.50,sigma_upper_edge,0.002495659722222222,-0.0005463286713286719,0.0007031249999999998,0.0007031249999999998,0
ABBY,hourly_1.00,hourly_0.75,mean_acceptance,-0.08790234374999997,-0.08674218750000001,-0.084390625,-0.08674218750000001,-1
ABBY,hourly_1.00,hourly_0.75,saturation,0.005580078125000054,0.0077285156249999876,-0.012382812499999951,0.005580078125000054,0
ABBY,hourly_1.00,hourly_0.75,min_steps_per_tau,-0.3489356538564934,-0.5398781552438088,6.8247421030846525,-0.3489356538564934,0
ABBY,hourly_1.00,hourly_0.75,max_cross_seed_width_fraction,0.00028548665601791344,0.00028548665601791344,0.00028548665601791344,0.00028548665601791344,0
ABBY,hourly_1.00,hourly_0.75,abs_resid_lag24,-1.5192807247266238e-05,5.82299266982389e-06,-2.460848473662125e-06,-2.460848473662125e-06,0
ABBY,hourly_1.00,hourly_0.75,sigma_upper_edge,-0.0032447076612903223,-0.004010695187165776,-0.0030237268518518512,-0.0032447076612903223,0
ABBY,hourly_1.00,daily_0.50,mean_acceptance,-0.23082421875000003,-0.226544921875,-0.228240234375,-0.228240234375,-1
ABBY,hourly_1.00,daily_0.50,saturation,0.539193359375,0.536158203125,0.518865234375,0.536158203125,-1
ABBY,hourly_1.00,daily_0.50,min_steps_per_tau,-4.098791263404468,-1.1658855625145996,-0.9604876143597316,-1.1658855625145996,0
ABBY,hourly_1.00,daily_0.50,max_cross_seed_width_fraction,-0.0049382750460269225,-0.0049382750460269225,-0.0049382750460269225,-0.0049382750460269225,0
ABBY,hourly_1.00,daily_0.50,abs_resid_lag24,-4.1998800008657966e-05,-2.844533612433864e-06,-2.2821112686588485e-05,-2.2821112686588485e-05,0
ABBY,hourly_1.00,daily_0.50,sigma_upper_edge,0.0068359375,0.004261363636363636,0.005078125,0.005078125,0
ABBY,hourly_1.00,daily_0.75,mean_acceptance,-0.08823242187499997,-0.091919921875,-0.08963281249999996,-0.08963281249999996,-1
ABBY,hourly_1.00,daily_0.75,saturation,0.532625,0.53713671875,0.527619140625,0.532625,-1
ABBY,hourly_1.00,daily_0.75,min_steps_per_tau,-12.387962287759514,-23.746536551869568,-6.7067931883529965,-12.387962287759514,-1
ABBY,hourly_1.00,daily_0.75,max_cross_seed_width_fraction,-0.0015178842582962851,-0.0015178842582962851,-0.0015178842582962851,-0.0015178842582962851,0
ABBY,hourly_1.00,daily_0.75,abs_resid_lag24,-2.0545274016070536e-05,4.207689252688773e-06,-5.264680141503497e-06,-5.264680141503497e-06,0
