site,seed_left,seed_right,map_wasserstein_full,map_wasserstein_decomposition,map_rmse_delta
JERC,9010,9011,0.1443891617726169,0.15469866741261626,0.000890449300173457
JERC,9010,9012,0.002229652936445717,0.0023763324578050674,4.319209264802559e-06
JERC,9010,9014,0.002147598299144182,0.002297553771976526,1.311702169182194e-05
JERC,9010,9015,0.22679643042773828,0.2429426473361279,0.0002753223983966713
JERC,9010,9017,0.14492147799722896,0.15526921832417678,0.0007936411356895823
JERC,9011,9012,0.1451712599887423,0.15553206021473895,0.0008947685094382596
JERC,9011,9014,0.14586311843198968,0.15628135109619362,0.0008773322784816351
JERC,9011,9015,0.3358243948566748,0.359762329425176,0.0011657716985701283
JERC,9011,9017,0.20034761832907907,0.2146503627645429,9.680816448387475e-05
JERC,9012,9014,0.0014615928268230194,0.0015568553174587034,1.74362309566245e-05
JERC,9012,9015,0.22607188697603667,0.2421789321834058,0.0002710031891318687
JERC,9012,9017,0.14464727495374088,0.1549628479463385,0.0007979603449543848
JERC,9014,9015,0.22555134716091693,0.24161207395592585,0.0002884394200884932
JERC,9014,9017,0.1449279654309379,0.15527272474032983,0.0007805241139977603
JERC,9015,9017,0.19509753639432706,0.20897575277033303,0.0010689635340862536
