site,left,right,metric,seed9009_left_minus_right,seed9010_left_minus_right,seed9011_left_minus_right,median_left_minus_right,material_direction
ABBY,hourly_0.50,hourly_0.75,mean_acceptance,0.10239257812500002,0.14191601562500003,0.09084179687500002,0.10239257812500002,0
ABBY,hourly_0.50,hourly_0.75,saturation,-0.056820312500000025,0.00028906249999999245,-0.018546874999999963,-0.018546874999999963,0
ABBY,hourly_0.50,hourly_0.75,min_steps_per_tau,1.9077580298710473,5.074877638229918,0.13866990176673433,1.9077580298710473,1
ABBY,hourly_0.50,hourly_0.75,max_cross_seed_width_fraction,0.3438626444541889,0.3438626444541889,0.3438626444541889,0.3438626444541889,-1
ABBY,hourly_0.50,hourly_0.75,abs_resid_lag24,1.6632297349383762e-06,-1.842739810542504e-05,-0.0004760100790044408,-1.842739810542504e-05,0
ABBY,hourly_0.50,hourly_0.75,sigma_upper_edge,0.0005151098901098909,0.003363715277777778,-0.0031249999999999993,0.0005151098901098909,0
ABBY,hourly_0.50,hourly_1.00,mean_acceptance,0.20382812500000005,0.21056250000000004,0.15852148437500002,0.20382812500000005,1
ABBY,hourly_0.50,hourly_1.00,saturation,-0.11434765625000004,-0.030789062499999964,-0.07673632812499992,-0.07673632812499992,0
ABBY,hourly_0.50,hourly_1.00,min_steps_per_tau,0.2234120753442781,-4.590666175754366,-14.842083577266706,-4.590666175754366,0
ABBY,hourly_0.50,hourly_1.00,max_cross_seed_width_fraction,-0.11678601320143012,-0.11678601320143012,-0.11678601320143012,-0.11678601320143012,0
ABBY,hourly_0.50,hourly_1.00,abs_resid_lag24,7.460137937287392e-06,1.0229743826917215e-05,-0.0004746911226738426,7.460137937287392e-06,0
ABBY,hourly_0.50,hourly_1.00,sigma_upper_edge,0.0005151098901098909,-0.001995584239130434,0.002604166666666667,0.0005151098901098909,0
ABBY,hourly_0.50,daily_0.50,mean_acceptance,0.07353710937500008,0.07291210937500003,0.05646875000000001,0.07291210937500003,0
ABBY,hourly_0.50,daily_0.50,saturation,0.410734375,0.48509375,0.421365234375,0.421365234375,-1
ABBY,hourly_0.50,daily_0.50,min_steps_per_tau,-0.06205640580550309,5.032441506857625,-2.5604601120243746,-0.06205640580550309,0
ABBY,hourly_0.50,daily_0.50,max_cross_seed_width_fraction,0.32083410675583907,0.32083410675583907,0.32083410675583907,0.32083410675583907,-1
ABBY,hourly_0.50,daily_0.50,abs_resid_lag24,0.00046183525893728206,0.00042010862807706495,1.565474795017785e-05,0.00042010862807706495,0
ABBY,hourly_0.50,daily_0.50,sigma_upper_edge,0.007211538461538462,0.0068359375,0.0078125,0.007211538461538462,0
ABBY,hourly_0.50,daily_0.75,mean_acceptance,0.16329296875000004,0.18833007812500002,0.198470703125,0.18833007812500002,1
ABBY,hourly_0.50,daily_0.75,saturation,0.397986328125,0.478251953125,0.42100000000000004,0.42100000000000004,-1
ABBY,hourly_0.50,daily_0.75,min_steps_per_tau,-2.608550572145658,3.287125319092988,-1.0804332101610612,-1.0804332101610612,0
ABBY,hourly_0.50,daily_0.75,max_cross_seed_width_fraction,0.2921784274781841,0.2921784274781841,0.2921784274781841,0.2921784274781841,0
ABBY,hourly_0.50,daily_0.75,abs_resid_lag24,0.000493785998837426,9.373619957120383e-05,-0.000488965708645428,9.373619957120383e-05,0
ABBY,hourly_0.50,daily_0.75,sigma_upper_edge,0.007211538461538462,0.0068359375,0.0078125,0.007211538461538462,0
ABBY,hourly_0.50,daily_1.00,mean_acceptance,0.268513671875,0.21843359375000004,0.27350195312500003,0.268513671875,1
ABBY,hourly_0.50,daily_1.00,saturation,0.3767109375,0.447443359375,0.41489453125000003,0.41489453125000003,-1
ABBY,hourly_0.50,daily_1.00,min_steps_per_tau,-0.6854797442300402,3.9784037381680886,-1.4141064500229525,-0.6854797442300402,0
ABBY,hourly_0.50,daily_1.00,max_cross_seed_width_fraction,0.14805774492690477,0.14805774492690477,0.14805774492690477,0.14805774492690477,0
ABBY,hourly_0.50,daily_1.00,abs_resid_lag24,-4.4497233395168756e-05,3.997059206539699e-05,-0.0004922014747207326,-4.4497233395168756e-05,0
ABBY,hourly_0.50,daily_1.00,sigma_upper_edge,0.006009615384615385,0.0068359375,0.0078125,0.0068359375,0
