site,seed,resolution,de_scale,leaf,mean_acceptance,saturation,min_steps_per_tau,max_tau_change,abs_resid_lag24,sigma_upper_edge,raw_chain_sha256,map_rmse,map_bias,map_r2,elm_rmse,elm_bias,elm_r2,pool_target_sha256,campaign_target_sha256,max_cross_seed_width_fraction
JERC,9010,hourly,0.75,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/hourly_0.75/seed_9010,0.22109179687500002,0.00270703125,10.851592986329559,0.18513461826387925,0.9188028195047292,0.0,60a60ae4d9988b1e1c82dad0dfab7f48f93918158b29054cd590a861e9e560e1,0.6674447996939864,-0.002552212881225669,0.3855211417334349,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,0.48540951546877786
JERC,9011,hourly,0.75,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/hourly_0.75/seed_9011,0.259130859375,0.0,8.704087550188603,0.25455837822286004,0.9161314299775136,0.0,2eaaf7eb165e01edadad3425f6f6b8a594fa5c2403571054ed005f482a38d8f3,0.6665543503938129,-2.03723172406463e-05,0.38715962114142755,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,0.48540951546877786
ABBY,9009,hourly,1.00,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/abby/hourly_1.00/seed_9009,0.12398046874999999,0.537056640625,10.075226908490297,0.18662123479552517,0.9726522946166406,0.006696428571428571,a0221729812ec0e0567e1314b7d54ab820b3158591e6e829cce85ed86c745931,4.721256009506092,-4.014342438238431,-2.228371934644816,6.689566197051163,-6.213237431624852,-5.481333566178679,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,78a9029b5ca8696b19f7827557ca9bd8850db420bb3d3ebb78805c4cd1a5f7d3,0.4611488008930378
ABBY,9010,hourly,1.00,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/abby/hourly_1.00/seed_9010,0.13537890625,0.526091796875,18.730871508865146,0.05863530882129529,0.9726434878587631,0.008831521739130434,c2490d812659f2e80eb28d971b0c9a9ccd6087969f22954248a3fa409a6c4691,4.721280653540767,-4.014485875419224,-2.2284056376752743,6.689566197051163,-6.213237431624852,-5.481333566178679,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,78a9029b5ca8696b19f7827557ca9bd8850db420bb3d3ebb78805c4cd1a5f7d3,0.4611488008930378
ABBY,9011,hourly,1.00,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/abby/hourly_1.00/seed_9011,0.167373046875,0.514439453125,24.54065891379947,0.03775600909394841,0.9726742130425567,0.005208333333333333,36b108d5fbf096ee6596d0b202a221007fb82d292c8f2877c651a8218a63f0fd,4.698572315617193,-3.9834290922741253,-2.197424459145533,6.689566197051163,-6.213237431624852,-5.481333566178679,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,78a9029b5ca8696b19f7827557ca9bd8850db420bb3d3ebb78805c4cd1a5f7d3,0.4611488008930378
JERC,9009,hourly,1.00,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/hourly_1.00/seed_9009,0.17551953125,0.0,8.884420455912078,0.27639720817704194,0.9174604559715044,0.0,0a17cce32e1b4e844b45b33232b81f35e018b5b4a536db06b984a6e3de9e109a,0.667707076689923,-0.0001537182091802237,0.38503811951416134,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,0.8961512514864348
JERC,9010,hourly,1.00,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/hourly_1.00/seed_9010,0.15426953125,0.0007890625,8.62963384089173,0.25585316726007923,0.9191797740124557,0.0,de09d03d7a121f7de5b11e8a094aba0eab445ab165e7650e3b097464f7408e0c,0.6675152351993294,0.0005031947267188535,0.3853914428799716,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,0.8961512514864348
JERC,9011,hourly,1.00,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/hourly_1.00/seed_9011,0.09139453125000001,0.0,8.21632387817595,0.33338553645796143,0.9175965106497909,0.0,e9be641236e24cc176aff15f6b61727192f7e3b73b1f57a285e0f57f2d32cf92,0.6677412146913431,-9.808774215548745e-05,0.3849752353334972,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,0.8961512514864348
ABBY,9009,daily,0.50,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/abby/daily_0.50/seed_9009,0.25427148437499997,0.011974609375,10.360695389640078,0.2987051793411866,0.9721979194956406,0.0,ce9902c609e56b05410783e6eb8355aefd33672563ef80692dba6a472949d718,4.72967040850279,-4.0352593482045025,-2.2398896395024965,6.689566197051163,-6.213237431624852,-5.481333566178679,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,0.02352868093576858
ABBY,9010,daily,0.50,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/abby/daily_0.50/seed_9010,0.273029296875,0.010208984375,9.107763826253155,0.3485711163320142,0.9722336089745129,0.0,6fb66e578cfc7bbc8ce377f99692eeaab136da9155c0a184f720e7dad1045b68,4.731932360267244,-4.037635240605762,-2.2429893170126842,6.689566197051163,-6.213237431624852,-5.481333566178679,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,0.02352868093576858
