site,resolution,de_scale,mean_acceptance,saturation,min_steps_per_tau,abs_resid_lag24,sigma_upper_edge,max_cross_seed_width_fraction,map_rmse,elm_rmse
ABBY,hourly,0.50,0.32780859375000004,0.437703125,10.298638983834575,0.97265371760259,0.007211538461538462,0.34436278769160766,4.721172503852906,6.689566197051163
ABBY,hourly,0.75,0.22541601562500002,0.479529296875,9.065327694880862,0.9726721450006954,0.006696428571428571,0.0005001432374187513,4.6985848104116865,6.689566197051163
ABBY,hourly,1.00,0.13537890625,0.526091796875,18.730871508865146,0.9726522946166406,0.006696428571428571,0.4611488008930378,4.721256009506092,6.689566197051163
ABBY,daily,0.50,0.26942578125,0.011974609375,10.360695389640078,0.9721979194956406,0.0,0.02352868093576858,4.731932360267244,6.689566197051163
ABBY,daily,0.75,0.157611328125,0.01705078125,10.853080014017792,0.9725599814030188,0.0,0.05218436021342357,4.729437101141005,6.689566197051163
ABBY,daily,1.00,0.059294921875,0.045998046875,10.984118728064615,0.9726917233946036,0.0,0.1963050427647029,4.710776722935153,6.689566197051163
JERC,hourly,0.50,0.102916015625,0.0,8.788918031542469,0.9164051937887514,0.0,0.3452170567161038,0.6674356015971721,1.5752056788220512
JERC,hourly,0.75,0.22109179687500002,0.0,8.704087550188603,0.9161685900463122,0.0,0.48540951546877786,0.6665760070096859,1.5752056788220512
JERC,hourly,1.00,0.15426953125,0.0,8.62963384089173,0.9175965106497909,0.0,0.8961512514864348,0.667707076689923,1.5752056788220512
JERC,daily,0.50,0.02503125,0.0,8.943367172513714,0.9186847592470536,0.0,0.10789172044573708,0.6728453054213762,1.5752056788220512
JERC,daily,0.75,0.014556640624999999,0.0,8.969838740143535,0.9202213921314543,0.0,0.08171427596827718,0.6735778923226537,1.5752056788220512
JERC,daily,1.00,0.012261718750000001,0.0,8.915063519902837,0.9207136411036115,0.0,0.11224941207317787,0.6733113932944368,1.5752056788220512
